âpåÍ,åªë„ï∂,å√ìT,êîäw,ï®óù,ínäw
31,31,33,59,63,52
72,77,60,50,51,68
34,27,47,34,33,20
44,44,54,43,35,48
58,57,54,45,61,63
35,38,34,18,31,27
62,67,80,77,76,71
40,45,50,56,48,39
41,51,44,47,48,55
58,57,49,60,60,70
35,36,45,53,46,61
26,35,40,57,33,41
59,53,47,61,59,71
65,59,72,53,52,66
28,42,40,42,20,40
31,26,27,37,23,48
38,53,49,35,39,38
44,48,61,43,54,46
54,57,51,68,51,63
63,51,56,55,50,54
42,53,58,73,61,71
51,46,57,44,46,48
48,62,52,57,57,63
50,44,45,35,39,53
65,56,49,58,46,49
73,56,70,44,55,45
30,36,40,45,39,62
42,31,34,32,23,29
42,46,38,50,40,57
69,51,42,57,53,59
63,60,45,81,91,87
81,71,70,82,81,73
56,64,47,51,76,61
58,53,50,64,55,48
51,61,53,62,70,68
34,35,40,30,39,55
37,45,31,44,38,53
55,54,72,58,56,56
65,41,50,47,56,45
47,43,43,56,39,46
54,54,56,25,31,30
48,31,28,57,50,51
57,65,63,67,61,58
36,35,42,48,38,49
36,30,43,55,44,49
46,64,65,27,29,32
46,56,63,34,48,31
60,55,65,51,32,49
56,54,61,76,74,52
57,68,76,64,48,73
61,66,67,46,45,28
48,49,54,49,54,43
43,28,40,60,69,64
48,49,46,50,57,40
56,53,57,45,46,41
38,35,39,43,35,31
28,19,19,55,45,42
43,37,46,59,60,70
46,40,47,36,33,33
50,51,57,54,52,48
40,54,49,54,39,50
83,74,59,75,66,57
39,38,32,51,38,45
59,67,50,48,51,63
49,49,44,50,61,53
45,47,67,66,58,74
65,65,81,59,69,54
41,47,62,44,50,53
52,62,53,70,53,43
29,26,30,27,36,31
50,43,48,60,54,40
69,60,66,56,40,57
39,58,50,50,65,55
39,61,50,51,55,38
52,55,48,22,30,28
28,43,53,39,35,51
30,29,29,31,35,40
65,59,50,45,52,46
27,17,24,45,49,34
11,30,29,40,42,48
46,67,56,41,39,38
65,72,67,65,80,65
30,21,29,49,35,35
52,56,57,68,65,60
63,68,78,54,62,63
40,46,48,67,63,50
50,60,56,54,59,56
48,46,57,38,31,30
55,46,46,37,41,44
28,38,27,39,18,52
47,47,53,48,48,41
49,34,40,20,28,30
35,57,59,32,36,26
58,50,55,58,61,57
41,35,36,46,43,42
71,74,67,55,57,71
24,25,22,23,28,32
34,33,37,47,50,41
74,72,67,49,52,68
64,58,41,70,64,73
57,68,64,42,46,58
53,47,46,47,52,47
60,60,68,48,48,49
56,62,58,47,46,41
66,58,47,43,37,44
41,46,46,39,40,47
77,61,77,49,47,29
49,52,59,55,53,59
42,47,44,42,47,50
62,74,64,53,67,54
91,76,89,68,66,64
76,73,67,70,60,57
40,44,37,40,45,39
32,37,30,48,44,33
59,50,38,59,56,58
30,32,29,30,28,34
51,47,45,47,42,30
53,42,53,37,34,50
15,33,48,57,51,46
66,63,65,57,49,66
66,66,50,59,75,62
41,36,40,55,50,47
34,26,43,39,37,37
69,81,72,41,53,41
34,39,41,45,44,31
62,66,64,47,48,51
52,45,51,37,39,35
37,42,34,52,48,39
54,54,58,47,37,55
69,66,61,51,29,57
31,23,31,60,44,49
58,46,50,20,31,25
44,35,31,37,36,9
35,35,23,43,35,41
36,44,30,53,63,60
50,62,81,45,68,48
37,41,39,44,46,39
45,55,58,43,28,55
21,38,46,30,39,52
63,60,57,56,51,45
48,59,41,33,7,6
51,48,36,23,33,14
37,43,53,52,36,28
45,40,55,72,55,61
56,60,59,65,61,52
51,46,57,25,30,32
46,40,48,62,68,69
41,34,41,46,59,38
45,27,41,37,42,30
54,56,61,46,46,51
74,72,85,66,60,72
44,47,38,30,39,48
57,56,47,67,76,59
55,41,49,28,50,41
31,22,22,32,34,28
55,58,48,28,52,36
43,54,39,33,46,45
45,57,60,64,70,65
38,46,30,45,43,36
91,69,65,72,79,72
41,41,45,45,40,46
63,59,61,61,70,49
66,63,59,50,47,65
55,38,24,67,68,66
68,59,75,44,66,49
52,40,58,62,60,52
47,67,58,60,63,60
46,53,40,35,44,37
69,65,65,49,51,55
74,67,75,58,62,46
62,56,70,65,60,58
51,62,63,75,68,62
75,72,90,59,55,48
76,56,66,49,38,47
74,65,54,63,55,64
65,58,62,27,43,44
50,43,32,44,59,64
64,58,61,51,65,45
37,32,41,15,28,4
41,48,57,59,63,51
57,75,72,83,83,92
35,39,33,27,20,28
16,26,27,32,37,33
44,34,58,37,34,33
55,45,44,45,52,34
75,60,68,76,85,78
28,32,9,34,24,38
38,31,43,58,59,57
56,63,71,45,35,34
61,71,77,52,65,56
44,60,55,48,53,62
55,59,50,50,54,43
58,67,59,56,54,57
36,35,35,32,39,29
63,75,79,31,36,35
63,65,72,59,56,62
62,50,55,65,51,61
60,48,53,64,57,57
41,40,36,76,64,69
27,22,39,49,39,27
30,31,54,50,31,24
50,46,41,49,63,33
19,36,23,28,38,33
22,31,38,68,70,56
49,51,18,44,42,69
46,53,43,59,51,35
68,64,66,53,55,65
63,71,65,42,37,48
47,57,48,11,20,25
29,28,28,43,43,50
52,55,45,21,24,26
27,26,38,46,52,62
20,15,19,28,25,16
46,51,55,52,71,58
25,28,32,26,23,7
65,70,66,64,64,57
78,71,65,76,83,84
72,58,58,51,61,41
60,63,69,63,58,52
37,39,55,61,54,56
32,27,47,36,42,35
55,39,22,70,66,76
49,61,67,39,49,47
56,69,48,42,52,56
60,65,74,75,79,71
55,53,46,64,63,51
66,60,58,80,80,58
55,50,45,63,71,58
63,61,67,74,68,51
49,49,46,45,60,57
56,61,34,94,74,87
45,42,44,72,53,46
42,28,47,26,31,45
73,75,77,62,56,61
47,65,57,69,58,58
27,49,43,47,47,43
61,55,52,33,35,46
18,18,20,58,31,41
62,50,52,46,44,53
47,65,74,66,62,65
31,44,38,38,34,25
43,38,57,42,42,51
49,52,40,57,63,56
52,48,47,58,52,60
37,41,37,37,38,30
40,47,53,58,52,40
38,28,44,29,24,32
28,35,24,37,45,37
60,65,45,61,53,59
55,52,60,47,64,73
31,42,45,38,43,51
26,41,46,48,37,62
31,43,38,38,41,46
85,70,65,68,57,53
41,41,42,47,50,50
44,31,26,28,43,32
58,64,72,58,64,65
66,55,41,61,70,51
55,49,38,46,54,35
67,52,75,60,61,54
52,55,51,69,68,73
49,39,40,42,49,34
37,45,47,35,40,43
9,16,31,27,22,28
52,46,64,55,61,58
82,80,71,79,80,73
38,35,34,34,32,35
61,66,60,65,79,69
43,44,55,62,57,51
53,59,66,71,45,65
38,63,53,31,31,59
51,54,49,49,49,50
12,21,15,44,42,30
60,56,38,54,62,44
47,52,49,38,33,46
34,30,39,32,34,36
44,49,37,56,69,63
46,42,41,37,41,40
53,49,52,47,35,41
42,44,51,54,47,55
64,65,68,65,72,67
41,53,50,24,31,29
46,54,52,46,54,59
50,54,51,48,51,60
74,81,72,60,52,72
49,34,29,44,32,44
70,64,52,56,71,48
56,51,56,42,59,37
60,65,68,64,55,58
54,68,59,55,75,71
73,73,69,63,61,71
34,34,41,41,23,39
49,61,54,60,58,49
44,34,48,65,63,39
49,74,61,48,46,67
54,55,57,84,74,72
34,51,52,47,40,46
33,46,53,70,56,58
59,36,45,57,69,42
52,45,41,55,42,45
57,49,69,40,43,35
38,24,41,44,39,40
25,26,23,63,52,57
35,40,43,51,34,41
42,43,41,49,45,61
43,53,60,55,50,58
64,62,64,26,19,40
58,47,36,63,58,45
37,50,45,38,41,34
56,72,67,75,71,63
50,60,55,36,40,53
73,64,58,45,48,56
53,44,47,55,47,44
65,63,70,65,64,62
30,24,36,37,46,40
55,54,58,46,63,54
40,44,61,27,38,37
48,44,50,36,38,55
62,50,54,64,61,52
44,32,40,80,71,72
57,50,63,76,68,67
77,82,76,76,66,57
42,32,22,51,48,42
56,66,64,41,30,36
80,66,63,82,73,55
43,39,51,37,48,30
49,43,48,58,66,40
47,52,51,54,42,23
53,65,69,70,62,71
32,20,26,38,48,32
60,56,65,64,59,51
41,44,70,30,21,15
26,39,38,28,41,47
36,44,50,44,36,34
56,49,47,34,43,35
45,67,56,46,59,78
69,67,73,62,58,55
31,33,40,43,42,43
47,39,54,63,73,66
33,22,25,13,10,17
71,60,53,49,48,43
39,59,39,50,43,63
38,33,33,34,40,19
29,19,41,67,76,32
40,49,56,34,40,34
43,49,44,43,57,40
31,33,43,44,35,41
37,31,49,48,40,47
32,36,37,74,69,70
60,61,59,69,47,58
26,35,28,58,45,35
59,44,36,78,73,43
71,70,78,69,66,68
37,31,36,54,50,51
51,41,47,50,41,32
24,33,37,37,34,44
36,28,31,31,43,31
81,69,64,41,39,39
43,48,45,57,49,62
46,50,44,45,52,42
53,48,63,47,33,45
83,65,73,79,76,72
69,73,74,79,60,58
51,46,58,51,38,37
57,58,50,46,48,38
25,43,55,30,28,25
44,47,43,22,27,29
48,47,59,43,45,52
50,53,55,38,38,39
83,66,58,56,46,48
58,51,50,53,48,48
39,34,35,63,60,51
36,35,44,43,56,44
62,62,52,84,72,79
36,52,48,56,61,66
36,44,50,44,40,44
49,32,46,39,27,38
52,40,30,65,56,53
35,50,30,44,22,24
36,33,51,44,44,61
61,69,61,59,67,69
33,26,27,49,51,59
47,57,50,46,65,55
52,41,34,63,70,37
31,16,34,47,42,42
24,27,36,72,61,68
42,42,42,28,23,21
70,65,66,71,64,70
38,39,34,29,47,46
50,45,41,37,27,44
50,55,48,30,36,50
53,50,52,49,36,54
38,35,40,19,32,24
25,38,27,45,51,57
53,44,48,51,53,45
56,52,48,66,57,53
37,36,47,69,68,59
39,33,39,60,58,58
17,33,36,35,40,57
44,31,41,69,61,69
73,81,87,49,61,80
44,54,39,63,63,58
31,17,15,33,35,41
49,51,59,32,38,37
49,42,46,51,37,41
68,61,51,46,36,41
61,40,56,67,47,58
40,39,40,39,41,54
38,42,39,43,32,40
44,65,50,60,69,77
41,21,26,43,43,45
81,69,64,53,55,43
28,37,33,53,47,40
52,57,70,54,62,50
62,47,59,45,26,36
73,64,65,75,63,59
51,47,46,39,49,57
63,49,51,61,74,38
43,43,43,67,66,61
75,65,53,76,87,74
76,70,57,63,67,56
30,38,25,60,67,51
62,41,45,70,57,68
48,40,38,52,37,40
40,44,32,47,61,55
87,70,70,49,53,56
33,38,25,44,34,40
58,55,55,26,28,41
47,56,41,54,51,56
55,66,57,59,56,56
54,47,40,70,60,72
36,39,42,53,43,41
37,45,37,45,48,36
31,23,23,42,35,30
42,46,48,20,34,31
23,29,42,40,50,41
77,92,82,63,63,65
36,37,26,50,49,39
66,63,70,46,41,43
32,35,44,48,46,38
59,51,43,56,48,65
66,67,82,58,63,56
66,64,61,53,49,56
47,50,46,44,49,52
51,52,67,60,69,62
52,58,62,60,65,57
10,9,0,42,32,32
70,57,51,85,86,85
39,35,24,28,37,38
29,48,45,18,33,39
50,48,43,58,55,56
39,37,52,46,49,32
70,89,95,50,62,60
53,52,52,67,59,50
58,48,45,35,39,39
82,79,90,86,93,75
39,57,41,76,80,97
49,45,42,41,48,62
53,56,54,66,70,64
45,47,40,44,61,66
67,51,56,49,42,44
52,47,50,28,46,26
68,61,65,57,57,50
68,63,55,68,75,61
48,60,56,54,68,58
38,44,29,68,82,66
24,28,28,54,32,26
31,43,27,43,40,39
50,54,39,53,45,48
36,42,49,54,43,54
29,34,54,39,49,47
61,49,66,38,20,30
28,28,34,28,31,36
46,53,49,36,45,39
28,13,31,42,15,35
36,43,12,24,29,38
77,62,46,64,53,63
48,33,57,54,69,56
44,51,47,55,51,57
63,52,43,60,54,73
48,55,57,38,48,56
32,46,40,51,49,50
51,29,47,53,43,39
40,52,38,25,38,36
52,56,57,47,56,54
49,50,40,20,29,28
60,48,63,54,54,58
52,45,56,64,64,70
43,31,22,20,30,27
45,46,29,49,47,56
67,62,59,56,78,72
67,73,62,97,97,100
60,61,59,43,39,49
50,60,44,52,67,59
32,30,27,36,56,38
44,56,42,53,46,60
63,57,68,38,50,41
46,55,55,48,39,56
66,67,57,49,58,61
64,58,53,48,46,48
27,30,35,31,15,13
28,40,47,18,23,26
38,48,40,42,50,37
35,46,29,35,45,55
67,45,65,53,43,47
57,62,60,50,54,49
54,41,47,37,45,42
63,70,77,56,62,59
51,66,72,35,41,53
62,67,65,96,75,70
54,50,68,51,58,58
81,68,62,63,70,79
30,41,42,39,50,49
39,51,46,25,30,46
59,58,44,77,74,70
83,85,77,68,66,62
32,43,48,74,54,52
40,30,55,46,38,26
45,43,51,25,26,16
59,75,59,75,62,86
45,31,30,36,49,33
56,70,61,51,54,60
49,52,53,35,33,51
57,67,38,37,27,57
42,47,46,32,41,43
44,48,57,45,55,58
19,13,10,41,43,39
80,79,72,49,55,52
27,39,28,29,43,21
32,29,33,29,28,23
43,59,47,38,29,33
56,51,43,34,32,54
38,37,28,57,67,52
42,34,40,80,56,61
62,65,64,71,58,58
53,49,58,64,53,67
45,60,57,47,48,57
41,40,41,53,51,54
67,55,54,59,58,54
34,33,35,21,7,24
63,47,60,50,40,40
62,67,74,37,33,23
51,47,44,26,61,47
50,48,53,70,52,68
66,71,65,68,62,69
22,11,11,39,40,37
51,54,53,40,41,39
33,24,19,43,43,36
59,63,65,35,36,21
24,30,31,38,36,23
65,57,66,62,62,49
57,53,42,48,43,56
48,22,38,37,48,27
61,52,60,67,53,50
41,55,57,58,50,60
45,35,48,33,39,37
63,70,70,36,41,53
42,38,46,61,62,53
57,52,44,56,50,55
55,42,48,52,59,40
43,42,35,72,78,53
48,60,63,58,60,63
60,58,74,74,62,76
42,42,35,56,51,54
36,33,48,43,54,49
71,53,50,75,70,83
41,39,53,30,29,32
51,50,57,65,57,59
45,56,65,45,50,42
44,42,42,47,52,48
27,27,31,37,46,50
44,42,52,59,59,65
34,26,33,53,45,58
48,37,49,75,58,57
67,58,67,59,52,62
1,15,22,30,42,30
68,67,49,68,48,64
61,59,59,39,45,42
41,41,43,36,23,28
27,26,34,43,42,51
62,53,59,49,54,30
31,31,27,17,30,33
26,14,10,37,18,30
53,62,66,68,66,67
35,27,42,41,34,37
30,24,32,39,48,32
51,46,64,42,49,45
71,67,68,65,38,62
47,38,50,55,62,46
29,46,54,34,13,28
38,42,37,49,42,58
52,64,54,55,58,57
57,59,51,57,56,73
55,50,48,59,61,61
64,65,70,53,56,52
32,43,38,32,35,60
27,15,9,45,46,47
51,49,62,43,43,51
41,37,44,12,10,11
33,42,46,38,43,52
64,69,85,61,66,55
58,57,43,53,30,61
62,64,54,52,33,65
53,58,50,74,69,80
40,35,40,80,76,72
46,55,36,51,59,48
32,52,50,44,45,55
63,63,82,98,84,89
67,63,64,55,40,43
31,35,32,39,50,37
64,60,72,74,66,60
63,52,58,42,51,38
41,42,24,48,56,61
39,51,33,48,52,49
59,56,52,81,77,58
38,40,58,60,74,68
14,14,14,44,38,25
66,45,63,65,58,44
43,16,54,53,54,39
51,45,48,67,52,60
76,76,68,78,65,60
45,40,45,32,52,36
34,31,21,39,29,41
46,20,40,53,49,55
43,48,53,45,43,46
63,54,43,23,33,34
38,39,39,64,51,49
41,34,22,23,13,24
78,69,72,48,58,70
44,39,37,47,63,47
32,43,45,57,49,67
64,57,77,61,54,63
47,45,40,36,63,35
37,47,40,46,46,56
33,39,40,44,31,33
42,48,40,47,47,53
52,56,61,55,47,55
55,41,41,34,35,43
48,60,49,52,41,46
51,43,34,47,34,47
39,47,49,73,68,72
74,68,64,50,61,62
87,74,77,52,50,43
55,47,62,30,49,40
39,55,38,72,65,69
70,63,66,66,59,76
85,82,80,67,62,75
51,63,73,57,71,62
40,38,49,47,41,31
45,62,53,38,44,65
33,49,57,35,25,39
43,41,33,56,50,38
68,74,58,62,83,75
45,45,36,46,57,55
41,50,54,75,49,68
53,34,50,52,51,36
55,66,63,37,33,31
48,36,32,53,44,39
44,47,43,60,46,59
31,43,45,34,35,42
43,42,35,40,28,28
34,44,56,28,33,38
52,59,59,50,61,55
50,41,38,61,55,62
45,59,60,45,42,42
40,51,49,57,51,48
43,31,34,42,46,38
51,51,41,46,52,48
32,42,40,41,38,49
34,49,35,25,34,48
40,43,44,46,29,43
51,40,35,56,58,47
61,76,66,41,28,53
19,38,34,20,35,31
57,56,49,65,64,74
56,35,41,31,32,28
42,53,50,45,38,45
31,33,25,25,32,45
65,62,63,66,60,52
62,78,71,58,58,51
48,58,51,41,50,40
60,56,52,47,25,40
44,52,31,37,30,38
39,59,52,22,21,31
33,44,42,47,44,36
46,39,48,46,38,43
39,30,32,45,68,30
37,49,31,62,61,55
42,42,52,44,41,28
44,55,51,45,45,42
68,62,55,56,40,51
94,77,77,78,68,63
36,41,48,53,43,39
50,46,55,55,59,55
50,53,57,44,44,53
64,59,55,46,51,61
40,43,45,45,50,36
59,76,68,63,57,64
38,30,45,14,21,29
24,39,33,36,30,36
30,36,25,43,36,36
80,76,81,69,73,74
52,42,44,45,39,48
62,57,47,50,20,41
45,38,40,45,33,40
46,46,51,69,80,64
63,63,71,57,46,50
55,48,43,53,71,53
71,79,62,55,72,71
66,62,49,62,64,61
21,19,11,31,31,28
41,41,31,24,37,27
23,28,30,16,20,24
38,32,55,30,23,28
37,52,48,53,59,46
56,56,57,37,23,34
29,28,32,28,34,33
39,52,59,46,50,43
67,47,53,69,70,45
52,51,69,41,30,30
66,71,75,49,28,56
59,52,49,72,67,61
33,44,45,41,51,45
14,4,6,30,27,33
48,57,53,25,20,42
73,65,56,68,69,75
68,55,63,82,84,80
43,49,50,22,47,30
57,51,49,30,37,49
36,38,42,46,52,34
50,32,59,65,65,61
62,61,57,50,54,56
29,35,44,38,28,42
26,44,33,66,47,66
51,55,49,65,45,61
69,70,90,68,81,49
67,52,58,49,51,61
74,77,73,58,58,56
64,63,56,37,54,61
41,45,36,37,38,34
59,45,48,46,55,47
49,53,35,49,54,42
49,58,60,74,62,59
38,40,25,33,32,27
44,46,43,53,66,49
62,62,65,25,41,20
24,30,44,45,38,43
66,53,63,66,69,57
39,36,46,53,35,45
36,32,33,57,37,36
45,53,59,70,70,63
46,58,46,51,53,59
65,54,46,92,69,53
45,52,54,31,31,34
38,52,41,48,49,31
45,36,35,59,40,49
43,32,38,45,54,49
48,39,64,47,49,38
61,65,47,45,48,36
48,52,71,47,44,42
72,63,52,38,52,43
62,83,70,67,42,59
32,35,31,50,53,55
41,31,37,22,26,18
36,39,27,50,42,55
68,67,69,44,44,45
30,39,48,56,51,52
28,41,36,32,33,48
8,21,28,48,26,32
53,57,67,61,58,53
53,43,59,38,33,36
18,3,16,7,32,20
57,50,51,71,82,66
50,52,56,47,55,49
48,52,45,29,41,39
32,32,24,38,39,43
61,42,39,60,64,45
58,57,48,66,58,56
53,58,29,72,48,76
26,37,42,43,57,46
70,63,73,55,56,40
72,67,70,61,56,55
45,50,35,43,42,39
54,57,53,65,66,68
50,42,45,68,52,49
31,33,36,31,35,40
45,46,42,39,41,25
15,31,33,57,43,69
40,46,47,44,37,39
52,67,80,49,55,51
68,67,54,64,53,55
61,53,53,74,64,63
42,51,31,57,65,63
80,90,76,49,62,66
42,51,46,32,34,52
41,50,50,57,51,50
45,46,46,38,51,41
42,52,35,72,65,68
55,54,48,43,41,43
40,46,53,31,28,28
29,40,34,39,45,60
57,65,65,59,65,65
72,56,63,59,58,57
42,38,37,67,70,51
44,61,52,40,35,48
58,52,25,47,54,46
29,21,2,42,35,34
76,76,72,73,82,70
37,55,52,34,32,55
90,86,92,40,47,48
30,34,43,58,46,31
63,62,57,67,61,49
42,49,38,29,33,45
63,61,62,69,64,57
62,61,55,68,68,56
78,92,95,45,36,64
9,26,35,15,0,12
40,30,39,43,66,37
45,53,44,62,70,62
54,49,58,40,63,42
83,81,81,82,77,74
16,35,24,37,25,23
32,25,27,58,57,50
54,62,58,80,76,86
56,73,68,60,69,51
66,48,39,59,68,53
57,56,52,66,55,76
45,36,43,43,42,34
46,49,37,54,40,42
70,64,48,59,65,75
39,33,51,47,53,48
57,58,56,82,88,86
44,42,39,51,44,39
46,58,56,75,72,67
65,49,64,46,52,54
24,24,16,34,36,51
35,36,31,70,71,67
29,21,37,67,64,56
73,94,67,20,24,45
28,18,21,24,32,23
49,50,57,42,47,51
43,32,41,33,21,47
32,29,44,35,51,55
53,56,52,52,51,61
68,67,70,75,56,78
36,51,44,54,61,55
44,35,30,46,44,54
46,44,45,57,57,47
32,41,20,37,50,48
71,65,60,49,64,56
42,70,58,33,39,44
48,43,57,42,47,51
47,47,50,25,27,17
37,39,50,40,41,53
49,48,50,47,59,57
23,29,28,35,44,41
66,58,68,71,66,76
50,60,62,25,36,31
47,40,39,41,43,55
70,68,63,68,62,57
45,33,46,26,34,8
55,36,35,55,61,53
54,48,37,36,45,36
40,28,26,29,35,39
61,61,63,38,33,32
39,45,51,41,31,34
38,33,39,31,24,31
49,44,42,56,77,62
58,52,52,56,54,72
49,47,50,37,54,55
21,34,37,35,45,35
73,62,70,46,52,53
59,64,58,50,55,48
50,54,33,62,74,65
20,25,40,29,40,27
37,45,44,36,30,39
66,56,58,37,54,44
56,44,47,61,67,57
53,41,29,17,24,17
46,29,31,54,52,55
33,31,37,51,49,56
51,58,41,41,34,47
80,73,58,62,72,68
35,44,46,38,26,34
41,38,39,26,15,12
51,42,46,47,45,43
36,24,30,54,62,57
15,19,41,45,34,34
52,54,62,49,51,45
63,66,52,72,73,63
64,77,66,59,57,47
54,41,44,53,46,51
61,62,67,54,34,59
60,52,38,50,54,54
48,51,46,50,32,53
21,29,40,31,24,36
64,65,65,79,55,58
49,45,59,19,16,21
39,22,28,42,25,11
69,64,58,68,72,85
44,51,42,50,54,59
60,68,45,53,66,52
74,80,78,54,53,63
44,52,43,35,47,34
41,46,31,59,51,50
45,56,41,47,42,48
27,33,32,62,67,70
44,51,42,41,65,43
41,37,50,55,43,52
43,38,61,48,52,44
50,57,46,47,58,63
61,55,69,36,24,41
58,52,64,55,56,68
55,47,59,57,73,76
37,47,41,43,46,52
18,15,24,38,29,37
63,37,54,56,48,26
42,37,40,59,57,60
61,52,42,50,49,36
75,80,83,53,48,53
64,56,53,26,34,39
66,71,53,66,60,86
73,83,75,51,57,69
67,67,60,71,72,56
54,72,75,47,53,44
31,33,49,34,49,39
46,51,41,44,53,35
15,17,14,53,50,46
36,42,21,40,37,40
60,51,50,39,57,34
38,40,38,29,40,11
67,60,70,51,62,52
87,77,91,66,49,62
64,71,80,52,45,45
56,66,67,69,62,78
54,65,61,46,42,48
36,36,39,65,61,58
65,52,52,60,60,75
51,56,52,72,55,58
45,60,56,43,58,54
39,43,39,32,29,54
19,11,12,41,25,44
40,41,42,53,44,40
33,25,37,49,47,41
59,53,53,43,45,50
32,50,45,41,35,46
40,37,37,37,46,40
46,51,37,61,57,53
55,60,61,57,57,55
37,23,38,24,22,16
49,46,37,42,47,40
55,48,42,67,63,68
41,35,52,36,42,32
50,41,42,41,53,39
42,40,31,50,61,54
57,58,45,44,41,58
44,33,45,54,42,49
54,50,54,75,72,83
66,66,49,65,68,73
41,35,44,41,38,40
43,51,42,73,68,91
40,53,46,49,63,52
39,33,34,48,53,59
20,18,21,35,28,38
43,60,54,41,51,59
49,36,39,45,48,44
41,40,37,35,25,25
53,52,56,67,59,69
64,73,61,70,60,58
47,46,46,55,62,36
63,66,51,59,59,69
52,33,33,32,42,32
63,58,59,58,62,65
73,64,75,81,63,56
54,64,55,70,72,64
37,48,55,28,41,43
72,65,56,63,64,51
70,79,59,52,65,65
49,59,48,15,25,18
29,34,36,18,31,35
23,17,34,26,34,16
51,60,58,58,52,50
62,79,53,59,66,64
46,52,56,46,51,31
55,65,52,48,66,61
62,58,61,59,60,74
52,60,47,58,60,51
48,59,53,46,34,51
29,45,37,50,66,64
70,65,63,79,59,74
66,53,48,65,50,64
64,81,64,73,58,56
37,30,45,45,63,26
46,47,47,18,33,33
41,52,44,55,52,53
29,41,26,40,37,42
15,8,3,31,25,42
32,35,32,18,18,13
16,12,17,48,36,38
70,56,70,68,77,44
